,Artista,Nombre,Nacionality
474,Johnny Mathis & Deniece Williams,Johnny Mathis,US
475,High Inergy,High Inergy,US
476,Joe Walsh,Joe Walsh,US
477,Toby Beau,Toby Beau,US
478,Bonnie Tyler,Bonnie Tyler,GB
479,Suzi Quatro & Chris Norman,Suzi Quatro,US
480,Toto,Toto,US
481,Kiss,KISS,US
482,Herb Alpert,Herb Alpert,US
483,John Stewart,John Williams,US
484,"Earth, Wind & Fire & The Emotions","Earth, Wind & Fire",US
485,Bobby Caldwell,Bobby Caldwell,US
486,Donna Summer and Brooklyn Dreams,Donna Summer,US
487,KC & the Sunshine Band,KC and the Sunshine Band,US
488,Nicolette Larson,Nicolette Larson,US
489,Patrick Hernandez,Patrick Rothfuss,US
490,Ian Matthews,Dave Matthews Band,US
491,Supertramp,Supertramp,GB
492,The Knack,The Beatles,GB
493,Sister Sledge,Sister Sledge,US
494,The Charlie Daniels Band,The Charlie Daniels Band,US
495,Dire Straits,Dire Straits,GB
496,Cheap Trick,Cheap Trick,US
497,Cheryl Lynn,Cheryl Lynn,US
498,Gloria Gaynor,Gloria Gaynor,US
499,Blondie,Blondie,US
500,Randy VanWarmer,Randy VanWarmer,US
501,Village People,Village People,US
502,Anita Ward,Anita Ward,US
503,Journey,Journey,US
504,Robert Palmer,Robert Palmer,GB
505,Peaches & Herb,Peaches & Herb,US
506,Amii Stewart,Amii Stewart,US
507,Gino Vannelli,Gino Vannelli,CA
508,Ace Frehley,Ace Frehley,US
509,M,Boney M.,
510,Neil Diamond & Barbra Streisand,Barbra Streisand,US
511,Nick Lowe,Nick Lowe,GB
512,David Naughton,David Bowie,
513,Rex Smith,T. Rex,GB
514,Frank Mills,Frank Sinatra,US
515,Bonnie Pointer,Bonnie Tyler,GB
516,McFadden & Whitehead,McFadden & Whitehead,US
517,Rickie Lee Jones,Rickie Lee Jones,US
518,GQ,GQ,US
519,The Emotions,The Beatles,GB
520,Peter Brown,James Brown,US
521,The New Seekers,The New Seekers,GB
522,The Hillside Singers,The Hillside Singers,US
523,Stephen Bishop,Stephen King,US
