,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Word_Length,Track_Transformed,Track_Language
112,how can you mend a broken heart,Bee Gees,6:23,3,0.467,0.42,4,-6.957,1,0.0398,0.509,2.56e-05,0.0707,0.365,146.512,63,1971,31,7, can you mend  broken heart,ENGLISH
113,signs,Five Man Electrical Band,3:54,4,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,63,1971,5,1,signs,ENGLISH
114,rose garden,Lynn Anderson,2:55,4,0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064,63,1971,11,2,rose garden,GERMAN
115,just my imagination (running away with me),The Temptations,3:48,4,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,63,1971,42,7,just  imagination running away  ,ENGLISH
116,mr. big stuff,Jean Knight,2:44,4,0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,62,1971,13,3,mr. big stuff,ENGLISH
117,rainy days and mondays,The Carpenters,3:38,4,0.351,0.235,10,-11.513,1,0.0323,0.852,0.0,0.0688,0.218,74.72,62,1971,22,4,rainy days  mondays,ENGLISH
118,no matter what,Badfinger,3:00,4,0.529,0.743,9,-5.523,1,0.0481,0.177,0.0,0.0759,0.78,116.817,59,1971,14,3,no matter ,ENGLISH
119,the night they drove old dixie down,Joan Baez,3:31,4,0.505,0.486,0,-9.272,1,0.0336,0.545,0.0,0.222,0.484,125.839,59,1971,35,7, night they drove old dixie down,ENGLISH
120,i am…i said,Neil Diamond,3:33,4,0.247,0.376,10,-14.409,1,0.0272,0.14,4.97e-06,0.109,0.514,90.365,59,1971,11,3, am… said,ENGLISH
122,sweet city woman,The Stampeders,3:27,4,0.696,0.736,7,-7.283,1,0.048,0.255,0.0,0.117,0.917,88.133,59,1971,16,3,sweet city woman,ENGLISH
123,for all we know,The Carpenters,2:38,4,0.307,0.237,7,-13.437,1,0.0304,0.879,1.65e-05,0.0871,0.194,135.6,58,1971,15,4, all  know,ENGLISH
124,whatcha see is whatcha get,The Dramatics,3:34,4,0.641,0.74,6,-8.425,1,0.118,0.249,0.0,0.281,0.914,152.939,58,1971,26,5,whatcha see  whatcha get,ENGLISH
125,liar,Three Dog Night,3:11,4,0.436,0.946,8,-4.755,0,0.103,0.00121,0.0,0.215,0.603,93.544,58,1971,4,1,liar,SPANISH
126,knock three times,Tony Orlando and Dawn,2:56,4,0.774,0.58,1,-10.08,1,0.0512,0.158,0.0,0.0458,0.923,123.127,57,1971,17,3,knock three times,ENGLISH
127,(where do i begin?) love story,Andy Williams,3:17,4,0.41,0.427,2,-9.695,1,0.0374,0.618,2.08e-06,0.067,0.557,95.193,56,1971,30,6,where do  begin? love story,ENGLISH
128,lonely days,Bee Gees,3:43,4,0.733,0.594,5,-6.609,1,0.0394,0.0845,0.0,0.112,0.667,84.847,56,1971,11,2,lonely days,ENGLISH
129,"gypsys, tramps & thieves",Cher,2:38,4,0.476,0.677,0,-11.175,1,0.0365,0.211,0.0,0.0601,0.691,170.879,56,1971,24,4,"gypsys, tramps  thieves",ENGLISH
130,theme from shaft,Isaac Hayes,4:39,4,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,56,1971,16,3,theme from shaft,GERMAN
131,you’ve got a friend,James Taylor,4:15,4,0.765,0.317,11,-11.881,0,0.0274,0.88,2.35e-06,0.126,0.524,108.04,55,1971,19,4, got  friend,ENGLISH
132,me and you and a dog named boo,Lobo,2:57,4,0.628,0.603,6,-10.286,1,0.0312,0.178,1.73e-05,0.0686,0.951,120.782,55,1971,30,8,  you   dog named boo,ENGLISH
133,the tears of a clown,Smokey Robinson & the Miracles,3:01,4,0.593,0.607,1,-9.886,1,0.0283,0.147,0.0,0.128,0.953,128.365,55,1971,20,5, tears   clown,ENGLISH
134,never can say goodbye,The Jackson 5,2:59,4,0.527,0.821,2,-7.19,1,0.047,0.337,1.68e-06,0.394,0.835,166.139,55,1971,21,4,never can say goodbye,ENGLISH
135,amos moses,Jerry Reed,2:19,4,0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,105.541,54,1971,10,2,amos moses,SPANISH
136,spanish harlem,Aretha Franklin,2:54,4,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75e-05,0.129,0.789,125.166,53,1971,14,2,spanish harlem,ENGLISH
137,ain’t no sunshine,Bill Withers,3:12,4,0.0942,0.995,2,-27.09,0,0.0514,0.315,0.97,0.957,1e-05,83.334,53,1971,17,3, no sunshine,ENGLISH
138,groove me,King Floyd,3:03,4,0.908,0.421,11,-9.382,1,0.0648,0.26,0.00065,0.0805,0.861,102.977,53,1971,9,2,groove ,ENGLISH
139,help me make it through the night,Sammi Smith,4:08,4,0.459,0.396,7,-7.9,1,0.0241,0.733,0.00304,0.127,0.414,65.861,53,1971,33,7,help  make  through  night,ENGLISH
140,sooner or later,Grass Roots,3:38,4,0.493,0.843,5,-4.893,0,0.0482,0.0019,0.0086,0.0835,0.416,92.827,52,1971,15,3,sooner or later,ENGLISH
141,mr. bojangles,Nitty Gritty Dirt Band,3:35,3,0.444,0.757,11,-6.884,0,0.0541,0.699,0.0,0.329,0.554,154.26,52,1971,13,2,mr. bojangles,ENGLISH
142,does anybody really know what time it is,Chicago,3:22,4,0.564,0.455,0,-11.615,1,0.0369,0.645,3.05e-06,0.0915,0.697,117.792,51,1971,40,8,does anybody really know  time  ,ENGLISH
143,stick-up,Honey Cone,3:42,4,0.31,0.932,11,-4.764,0,0.262,0.000261,3.71e-06,0.349,0.304,135.944,51,1971,8,1,stick-up,ENGLISH
144,yo-yo,The Osmonds,2:53,4,0.597,0.642,11,-5.305,0,0.157,0.572,3.5e-06,0.125,0.719,168.825,51,1971,5,1,yo-yo,ENGLISH
145,sweet mary,Wadsworth Mansion,3:45,4,0.671,0.652,6,-7.86,0,0.0771,0.346,9.56e-05,0.178,0.702,158.418,51,1971,10,2,sweet mary,ENGLISH
146,treat her like a lady,Cornelius Brothers & Sister Rose,4:18,4,0.789,0.908,0,-8.123,1,0.0433,0.141,3.7e-05,0.189,0.909,113.205,50,1971,21,5,treat her like  lady,ENGLISH
